dataset;P;choiceA;time;choiceB;time;choiceC;time;choiceD;time;contardo;time;
0datas.npy;4;3.4e+00;2.30;6.8e+00;0.24;4.9e+00;0.16;4.9e+00;0.28;2.8e+00;24.00;
ar9152;4;1.3e+04;6.80;1.3e+04;4.10;1.4e+04;19.00;1.3e+04;24.00;3.5e+03;180.00;
ca4663;4;2.0e+04;1.30;1.7e+04;0.94;1.7e+04;5.30;1.7e+04;6.10;4.1e+04;68.00;
eg7146;4;4.1e+03;2.30;5.0e+03;2.00;4.9e+03;11.00;2.9e+03;14.00;6.9e+03;180.00;
gr9882;4;5.6e+03;5.00;4.3e+03;4.30;4.6e+03;24.00;1.3e+03;27.00;6.1e+03;260.00;
ja9847;4;8.8e+03;5.00;1.2e+04;4.10;1.2e+04;22.00;7.3e+03;27.00;8.6e+03;190.00;
kroA200;4;8.0e+02;0.00;1.4e+03;0.00;1.7e+03;0.00;3.0e+02;0.01;1.6e+03;0.32;
kz9976;4;1.1e+04;5.20;1.3e+04;4.50;1.4e+04;24.00;2.0e+03;28.00;1.6e+04;340.00;
mu1979;4;1.4e+03;0.17;3.3e+03;0.14;2.8e+03;0.89;1.5e+03;1.10;4.5e+03;15.00;
nu3496;4;6.8e+02;0.70;2.0e+03;0.47;2.1e+03;2.60;1.1e+03;3.40;6.6e+02;17.00;
pcb3038;4;2.8e+03;0.56;2.8e+03;0.36;2.5e+03;2.30;2.1e+03;2.70;7.4e+01;41.00;
pla7397;4;5.4e+05;2.50;2.4e+05;2.00;4.9e+05;13.00;1.4e+05;15.00;2.9e+05;220.00;
pm8079;4;2.4e+03;3.40;2.2e+03;2.90;2.3e+03;14.00;1.3e+03;18.00;5.0e+02;68.00;
pr2392;4;9.7e+03;0.22;9.7e+03;0.19;9.9e+03;1.30;5.1e+03;1.50;1.7e+03;26.00;
rl1889;4;1.0e+04;0.17;1.0e+04;0.11;1.1e+04;0.81;2.3e+03;0.95;3.6e+03;16.00;
rl5915;4;1.1e+04;1.80;1.1e+04;1.60;9.2e+03;8.30;2.8e+03;9.50;1.4e+03;110.00;
rl5934;4;1.0e+04;1.80;1.1e+04;1.60;1.1e+04;9.40;5.8e+03;9.80;2.5e+03;130.00;
rw1621;4;5.2e+02;0.12;9.6e+02;0.09;7.9e+02;0.59;3.2e+02;0.71;3.2e+02;2.50;
tz6117;4;3.2e+03;2.00;6.8e+03;1.70;5.5e+03;8.90;1.9e+03;10.00;7.7e+03;150.00;
u1817;4;1.5e+03;0.14;1.6e+03;0.10;1.3e+03;0.75;7.4e+02;0.89;3.8e+02;11.00;
ym7663;4;4.8e+03;2.90;3.2e+03;2.50;3.0e+03;13.00;4.0e+03;16.00;5.6e+03;140.00;
0datas.npy;5;3.4e+00;0.02;3.8e+00;0.01;4.9e+00;0.10;2.8e+00;0.12;1.8e+00;1.60;
ar9152;5;5.9e+03;4.50;1.0e+04;3.90;1.0e+04;21.00;6.5e+03;23.00;1.1e+03;150.00;
ca4663;5;2.0e+04;1.10;1.7e+04;0.95;1.7e+04;5.50;1.7e+04;5.90;3.4e+04;80.00;
eg7146;5;1.7e+03;2.40;2.7e+03;2.00;2.9e+03;11.00;2.8e+03;14.00;5.2e+03;200.00;
